prob,height,length,size,area,label
3.211480018548707e-13,393,550,44554,216150,1
1.0,160,160,13052,25600,0
7.331865691830031e-14,690,690,212480,476100,1
3.154392302917586e-08,480,640,237333,307200,1
4.311688783786849e-09,800,600,78521,480000,1
1.0,180,180,9476,32400,0
0.9999997615814209,899,690,108034,620310,0
1.0,1199,360,69668,431640,0
1.5330871974583715e-05,640,640,67113,409600,1
2.0146505903539946e-06,608,488,71920,296704,1
1.1316015399026602e-12,1132,1122,135024,1270104,1
0.999992847442627,270,365,7484,98550,0
0.9999970197677612,800,450,60669,360000,0
2.7944987005711552e-15,600,600,88120,360000,1
1.0,270,405,17382,109350,0
1.0,782,440,76475,344080,0
1.0,540,360,24457,194400,0
4.438189512936037e-21,874,750,95521,655500,1
0.999325156211853,288,425,54650,122400,0
0.9999991655349731,1199,360,66164,431640,0
1.0,518,690,63628,357420,0
1.0,180,180,5028,32400,0
1.0,920,690,103569,634800,0
7.301694859052077e-05,300,300,20176,90000,1
1.0,240,320,15959,76800,0
1.0,480,360,27833,172800,0
1.4165689954381833e-08,420,266,14477,111720,1
0.0004189741739537567,1258,440,215577,553520,1
2.1484568844992926e-18,784,1242,64601,973728,1
2.0013892481074436e-06,852,480,42635,408960,1
0.9999762773513794,640,479,76250,306560,0
2.3009827889081992e-14,3024,4032,2841600,12192768,1
1.3838329366815814e-20,1706,960,274134,1637760,1
1.0,960,640,53939,614400,0
1.2594629783535538e-09,832,480,90533,399360,1
0.9999936819076538,238,400,62986,95200,0
2.9061171871735958e-12,330,440,49906,145200,1
1.0,449,400,79769,179600,0
8.627385474589949e-15,630,640,53732,403200,1
1.0,486,360,36168,174960,0
6.2101880757836625e-06,719,540,51009,388260,1
2.3664141224344348e-07,550,500,69140,275000,1
4.356632814506156e-07,413,550,71345,227150,1
1.0,160,160,11306,25600,0
1.0,480,640,85310,307200,0
1.0,640,360,33499,230400,0
0.9999998807907104,920,690,157475,634800,0
1.6760040466579085e-08,187,317,2286952,59279,1
7.960743459989317e-06,393,440,25329,172920,1
2.4783927610670936e-18,653,980,172471,639940,1
1.0,480,360,29441,172800,0
3.495568279276995e-10,360,639,27401,230040,1
1.5522196861184057e-07,801,500,159410,400500,1
5.039092866354622e-05,563,440,53602,247720,1
8.121081694764058e-15,2926,2048,677600,5992448,1
1.0,300,252,13416,75600,0
6.972619370770872e-09,200,360,18958,72000,1
1.4746965426581937e-08,800,600,167159,480000,1
6.199076385339295e-18,4032,3024,2363828,12192768,1
4.719127069201495e-16,518,690,199071,357420,1
1.0,160,160,11710,25600,0
1.0,481,360,27721,173160,0
8.33612011774676e-06,800,594,39348,475200,1
0.9999409914016724,920,690,245314,634800,0
4.870721781458087e-08,400,400,51077,160000,1
1.0174070787238865e-12,600,600,102486,360000,1
1.0263576655233919e-07,801,500,158938,400500,1
0.9999994039535522,690,690,129610,476100,0
3.4155187011997157e-10,498,640,56565,318720,1
1.0,243,611,28213,148473,0
2.4109765490720747e-06,343,363,14128,124509,1
1.0,300,300,21812,90000,0
4.9554368312769437e-14,4032,3024,2877284,12192768,1
5.019616011736616e-08,960,1280,426231,1228800,1
7.118358701029591e-22,750,1055,206530,791250,1
1.8778838231147066e-16,221,532,56650,117572,1
3.2106420349009568e-06,450,600,47145,270000,1
1.0,920,690,155836,634800,0
6.437505964494022e-14,300,300,18038,90000,1
1.0,180,180,24753,32400,0
0.9999920129776001,294,690,46774,202860,0
3.5237877055363426e-23,2731,2048,1554881,5593088,1
1.0,480,360,19533,172800,0
0.9999957084655762,407,690,80729,280830,0
0.9999998807907104,480,360,39807,172800,0
2.372172519993134e-14,540,417,64238,225180,1
2.1019120468533095e-15,690,690,229710,476100,1
1.4342482472784468e-06,3948,1191,923512,4702068,1
5.226209509601176e-07,335,330,26835,110550,1
1.0,1136,640,59327,727040,0
1.6785610057468148e-07,300,300,97965,90000,1
1.2927177130671059e-14,944,1280,282142,1208320,1
0.9999792575836182,400,267,17248,106800,0
2.078582583830979e-10,1280,960,200485,1228800,1
1.096063906302902e-09,964,434,326216,418376,1
9.655679589215538e-10,1227,690,96484,846630,1
0.9999996423721313,180,240,7120,43200,0
1.102756217436873e-15,564,1002,130557,565128,1
8.827470421302053e-10,1707,960,271122,1638720,1
1.0,165,260,12175,42900,0
1.0,960,540,86142,518400,0
5.497688526645561e-09,620,460,35161,285200,1
5.187175589879525e-25,793,1413,295863,1120509,1
3.534904868818245e-10,741,440,115889,326040,1
4.865934877251732e-10,412,550,46926,226600,1
1.0,360,360,31677,129600,0
6.951800202159575e-08,189,595,62345,112455,1
1.8269221205291508e-11,653,600,65437,391800,1
1.0,485,360,14807,174600,0
1.6643143704560617e-14,689,500,101525,344500,1
6.397030383936401e-17,3968,2976,2501220,11808768,1
5.448190076168258e-12,701,1055,110476,739555,1
4.100372734683333e-06,876,720,300249,630720,1
4.446640275838931e-16,435,594,95424,258390,1
7.285420639165097e-13,1365,2048,367018,2795520,1
9.340669513899225e-13,1707,960,263015,1638720,1
1.0,800,533,65776,426400,0
1.2606357069344654e-09,299,400,40084,119600,1
3.516175218554792e-15,960,1700,259344,1632000,1
0.9999982118606567,667,690,108290,460230,0
3.0610880230597104e-07,3968,2976,1644871,11808768,1
9.994114563705025e-11,305,540,56134,164700,1
1.0,180,180,7339,32400,0
1.0,480,480,11721,230400,0
2.5524135756349597e-13,729,410,44851,298890,1
1.80247585540418e-22,960,1440,311317,1382400,1
1.0,480,360,29353,172800,0
8.183715510812206e-11,1280,960,290374,1228800,1
0.999994158744812,488,650,28027,317200,0
4.2018867552062744e-11,387,690,53826,267030,1
1.0,639,360,30569,230040,0
0.0004604055138770491,1280,720,173023,921600,1
9.117510444411892e-07,484,452,46847,218768,1
5.685822179657407e-05,356,587,103190,208972,1
0.0007179952226579189,456,440,29554,200640,1
1.0,600,360,20296,216000,0
1.0,540,360,12785,194400,0
9.462266368540695e-20,511,452,87499,230972,1
1.0379012316263925e-08,1398,892,173394,1247016,1
4.640440827260221e-22,353,440,52290,155320,1
1.0,653,360,46605,235080,0
2.257517740453241e-12,500,500,134844,250000,1
2.264878551632571e-13,1007,690,109832,694830,1
2.1439975648736937e-23,960,1707,405863,1638720,1
7.665379939680861e-07,491,668,76306,327988,1
1.0,540,360,33088,194400,0
0.9998503923416138,172,440,19351,75680,0
0.9999991655349731,640,640,62823,409600,0
1.0,480,360,36768,172800,0
2.046156168944435e-06,345,540,29320,186300,1
4.1656812754808925e-07,2220,1080,92189,2397600,1
1.0,640,360,34447,230400,0
1.0,325,440,24107,143000,0
9.21870327470764e-13,740,690,72942,510600,1
1.0,960,540,132791,518400,0
1.0,639,360,28515,230040,0
1.0,393,360,29121,141480,0
1.3198000470282523e-09,390,640,26762,249600,1
1.0,960,640,109409,614400,0
1.0,160,160,10228,25600,0
1.255209181039163e-08,461,690,175108,318090,1
1.0,518,690,104367,357420,0
2.2799154589440152e-23,810,1080,212360,874800,1
1.0861774768500254e-07,586,440,93063,257840,1
1.0,160,160,11709,25600,0
5.009697545688141e-08,801,500,158721,400500,1
1.1695817700797578e-16,692,979,152610,677468,1
1.0,518,690,117716,357420,0
1.0,481,360,26349,173160,0
2.2188423542957025e-07,734,550,42867,403700,1
1.0332858437323011e-05,480,423,52306,203040,1
1.0,540,360,22940,194400,0
1.9050322178210744e-26,800,800,246119,640000,1
1.0,160,160,11834,25600,0
5.841736816503129e-11,247,440,15342,108680,1
0.9991850256919861,303,497,38080,150591,0
2.097525928987376e-12,339,452,96977,153228,1
1.3533025069491222e-14,600,800,125308,480000,1
0.9999233484268188,1200,360,77202,432000,0
2.037155999445872e-09,1365,2048,288756,2795520,1
1.0,541,360,16729,194760,0
2.35133066446222e-13,571,703,76335,401413,1
0.9999990463256836,270,455,21864,122850,0
0.000136451271828264,266,440,23755,117040,1
5.5862233239167836e-06,371,660,28854,244860,1
8.452127737778041e-23,960,1280,374592,1228800,1
0.9999969005584717,853,480,35201,409440,0
2.3853892832889113e-14,564,1002,97486,565128,1
2.704168486356018e-12,800,594,49498,475200,1
2.4839506007623413e-09,300,400,22725,120000,1
1.0,640,360,31354,230400,0
3.669533752380383e-14,960,1430,241157,1372800,1
0.999559223651886,294,690,41688,202860,0
6.3273111285176795e-15,698,750,53796,523500,1
1.9345612129828805e-17,1536,2048,824493,3145728,1
5.0010854832360785e-12,449,600,43205,269400,1
1.0,180,180,10205,32400,0
1.0986582303640358e-11,518,690,72922,357420,1
1.1443930872379049e-11,128,164,6291,20992,1
1.7615947456306458e-07,1280,960,268446,1228800,1
7.963930903631677e-11,783,600,65253,469800,1
3.574274703110278e-29,1620,911,156968,1475820,1
1.0,800,451,51198,360800,0
1.0,160,160,12164,25600,0
0.999975323677063,924,690,192216,637560,0
6.517098682934375e-08,312,440,47838,137280,1
1.101020117532357e-15,960,1280,172757,1228800,1
1.0,270,551,30626,148770,0
1.0,179,179,10035,32041,0
1.0,480,360,34390,172800,0
1.0,270,360,10964,97200,0
5.377314593602023e-09,346,554,86311,191684,1
1.0,1228,690,127035,847320,0
3.2290230026225854e-16,1353,960,531538,1298880,1
1.5848056591494242e-06,853,480,45381,409440,1
1.9748849808820523e-05,640,368,35418,235520,1
1.4698108316224534e-05,198,352,14556,69696,1
9.272245904412557e-08,308,466,66072,143528,1
2.2215920769674824e-10,307,541,90136,166087,1
0.9999920129776001,960,540,47349,518400,0
3.0889671376321814e-10,250,250,19016,62500,1
2.020787466330029e-15,3024,4032,8686412,12192768,1
0.9984765648841858,103,360,7283,37080,0
6.70645872169473e-10,1920,1080,1917346,2073600,1
0.9999912977218628,1136,639,106867,725904,0
8.094917802736745e-07,826,433,39297,357658,1
3.7236708190333747e-20,2690,4032,3471848,10846080,1
1.0,160,160,12446,25600,0
1.8057669075310923e-13,742,440,170338,326480,1
2.508544240387156e-11,1280,960,390993,1228800,1
4.411710580187744e-11,574,800,40451,459200,1
